"examinee","QRS_int","T_int","QT_int","RC_int","RC_int2","BX_int","BX_int2","RS_amp","RQ_amp","TT1_amp","TT2_amp","CB_amp","CX_amp","ECGTcrest","ICGcrest","RR","CC"
"ID0095 - 1","58","205","385.75","80.25","97.35","346","419.71","0.11","0.11","0.03","0.02","1.56","2.3","1.53","2.14","679.6","680.6"
"ID0095 - 1","59","196.85","392.5","64.55","77.01","296","353.13","0.12","0.12","0.03","0.02","1.64","2.31","1.54","1.98","702.6","702.6"
"ID0095 - 1","59.5","186.17","389.82","61.2","73.75","334.5","403.07","0.12","0.12","0.02","0.02","1.81","2.1","1.48","1.9","688.7","687.3"
"ID0095 - 1","59.5","200.89","393.79","62.15","76.36","356","437.41","0.12","0.12","0.02","0.02","1.47","2.36","1.57","1.9","662.4","662.5"
"ID0095 - 2","59","199.79","391.82","60.6","72.28","362.5","432.38","0.11","0.11","0.02","0.02","1.65","2.49","1.55","1.86","702.9","702.7"
"ID0095 - 2","59.5","187.32","368.5","60.8","67.79","379","422.57","0.11","0.11","0.03","0.02","1.81","2.51","1.58","1.95","804.4","804.5"
"ID0095 - 2","59.5","207.07","381.45","63.15","72.45","380.5","436.52","0.11","0.12","0.03","0.02","1.81","2.29","1.63","1.89","759.8","759.7"
"ID0095 - 2","60","209.64","373.31","62.5","70.07","377","422.64","0.11","0.11","0.03","0.02","1.7","2.39","1.64","1.92","795.7","796"
"ID0016 - 1","56.5","260.54","382.54","69.2","78.9","255.5","291.32","1.18","0.98","0.16","0.14","0.82","0.88","1.57","1.85","769.2","768.5"
"ID0016 - 1","56","272.56","406.48","68.25","80.53","242","285.54","1.18","0.98","0.14","0.13","0.84","1","1.55","1.89","718.3","717.5"
"ID0016 - 1","56.5","266.91","390.55","121.45","140.33","291.5","336.82","1.18","0.98","0.14","0.12","1.07","1.25","1.56","1.74","749","744.6"
"ID0016 - 1","55.5","244.99","366.05","67.25","76.81","394.5","450.57","1.17","0.97","0.13","0.09","0.9","1.25","1.45","1.91","766.6","767.1"
"ID0016 - 2","57","259.7","382.69","66","75.51","398.5","455.91","1.2","0.98","0.12","0.11","1.06","1.37","1.47","1.84","764","764.5"
"ID0016 - 2","55.5","258.06","381.84","66.2","77.3","392","457.74","1.19","0.98","0.13","0.1","0.98","1.3","1.49","1.88","733.4","732.8"
"ID0016 - 2","55.5","277.44","399.98","65.55","75.78","398","460.09","1.19","0.98","0.13","0.11","1.08","1.37","1.53","1.84","748.3","748.2"
"ID0016 - 2","55.5","263.28","388.71","64.8","76.68","389.5","460.89","1.19","0.98","0.12","0.1","1.06","1.4","1.42","1.83","714.2","714.2"
